@relation meta_all

@attribute openml_task_id numeric
@attribute meta_REPTreeDepth2ErrRate numeric
@attribute meta_J48.00001.ErrRate numeric
@attribute meta_NBErrRate numeric
@attribute meta_MeanMutualInformation numeric
@attribute meta_NBAUC numeric
@attribute meta_DecisionStumpKappa numeric
@attribute meta_HoeffdingDDM.warnings numeric
@attribute meta_NoiseToSignalRatio numeric
@attribute meta_RandomTreeDepth3AUC_K=0 numeric
@attribute meta_PercentageOfNumericAtts numeric
@attribute meta_EquivalentNumberOfAtts numeric
@attribute meta_HoeffdingDDM.changes numeric
@attribute meta_ClassEntropy numeric
@attribute meta_NaiveBayesDdm.changes numeric
@attribute meta_NumMissingValues numeric
@attribute meta_NumNominalAtts numeric
@attribute meta_REPTreeDepth3AUC numeric
@attribute meta_MeanAttributeEntropy numeric
@attribute meta_MeanKurtosisOfNumericAtts numeric
@attribute meta_REPTreeDepth3Kappa numeric
@attribute meta_J48.001.ErrRate numeric
@attribute meta_NumNumericAtts numeric
@attribute meta_ClassCount numeric
@attribute meta_J48.00001.AUC numeric
@attribute meta_PercentageOfBinaryAtts numeric
@attribute meta_DecisionStumpAUC numeric
@attribute meta_RandomTreeDepth1AUC_K=0 numeric
@attribute meta_REPTreeDepth2Kappa numeric
@attribute meta_PositivePercentage numeric
@attribute meta_J48.0001.ErrRate numeric
@attribute meta_MinNominalAttDistinctValues numeric
@attribute meta_RandomTreeDepth2AUC_K=0 numeric
@attribute meta_MeanMeansOfNumericAtts numeric
@attribute meta_J48.0001.kappa numeric
@attribute meta_MeanNominalAttDistinctValues numeric
@attribute meta_J48.00001.kappa numeric
@attribute meta_PercentageOfNominalAtts numeric
@attribute meta_REPTreeDepth1Kappa numeric
@attribute meta_NegativePercentage numeric
@attribute meta_NumBinaryAtts numeric
@attribute meta_NaiveBayesDdm.warnings numeric
@attribute meta_MaxNominalAttDistinctValues numeric
@attribute meta_PercentageOfMissingValues numeric
@attribute meta_J48.001.AUC numeric
@attribute meta_J48.0001.AUC numeric
@attribute meta_NBKappa numeric
@attribute meta_REPTreeDepth1AUC numeric
@attribute meta_NaiveBayesAdwin.changes numeric
@attribute meta_REPTreeDepth3ErrRate numeric
@attribute meta_DecisionStumpErrRate numeric
@attribute meta_MeanStdDevOfNumericAtts numeric
@attribute meta_Dimensionality numeric
@attribute meta_REPTreeDepth2AUC numeric
@attribute meta_StdvNominalAttDistinctValues numeric
@attribute meta_HoeffdingAdwin.changes numeric
@attribute meta_MeanSkewnessOfNumericAtts numeric
@attribute meta_IncompleteInstanceCount numeric
@attribute meta_DefaultAccuracy numeric
@attribute meta_REPTreeDepth1ErrRate numeric
@attribute meta_J48.001.kappa numeric
@attribute meta_NumAttributes numeric
@attribute class {moa.NaiveBayes(1),moa.SPegasos(1),moa.LeveragingBag_kNN(1),moa.LeveragingBag_HoeffdingTree(1),moa.OzaBag_HoeffdingTree(1),moa.OzaBoost_HoeffdingTree(1)}

@data
194,62.1,38,48.2,-1,0.754471,0.124452,2,-1,0.658515,0.909091,-1,0,2.230068,0,0,0,0.649097,-1,-0.009666,0.21515,34.7,10,5,0.81045,0,0.578278,0.556589,0.134218,0.107,36.2,-1,0.607093,0.502172,0.535263,-1,0.512199,0,0.089605,0.31,0,2,-1,0,0.816463,0.814498,0.368031,0.589879,0,57.5,63.3,0.330855,0.011,0.620857,-1,0,-0.038187,0,0.31,65,0.551692,11,moa.LeveragingBag_HoeffdingTree(1)
160,1.8,1.9,7.6,0.167262,0.99039,0.775819,2,-6.978634,0.942848,0,5.952369,0,0.995607,0,0,22,0.979946,-1,0,0.963723,1.9,0,2,0.980153,0.173913,0.88725,0.835471,0.963723,0.461,1.9,2,0.904787,0,0.961713,5.681818,0.961713,0.956522,0.963723,0.539,4,3,12,0,0.980153,0.980153,0.845616,0.979946,0,1.8,11.3,0,0.023,0.979946,3.029794,0,0,0,0.539,1.8,0.961713,23,moa.OzaBag_HoeffdingTree(1)
182,5.6,5.6,9.6,0.214479,0.971083,0.884156,2,3.434839,0.951719,0,4.513031,0,0.967951,0,0,16,0.941345,0.95118,0,0.884156,5.6,0,2,0.941345,0.941176,0.941345,0.839701,0.884156,0.395,5.6,2,0.923304,0,0.884156,2,0.884156,0.941176,0.884156,0.605,16,6,2,0,0.941345,0.941345,0.800718,0.941345,0,5.6,5.6,0,0.017,0.941345,0,0,0,0,0.605,5.6,0.884156,17,moa.LeveragingBag_HoeffdingTree(1)
129,58.7,39.5,7.1,0.163616,0.995064,0.107436,0,6.030324,0.778348,0,20.248349,0,3.312949,0,0,64,0.874231,1.150272,0,0.476408,41,0,10,0.864647,0,0.670007,0.614675,0.344059,0.082,39.5,3,0.714064,0,0.560454,3,0.560412,0.984615,0.163546,0.116,0,0,3,0,0.8416,0.860247,0.921009,0.716818,6,47,79.1,0,0.065,0.831073,0,7,0,0,0.116,74.9,0.543726,65,moa.OzaBoost_HoeffdingTree(1)
171,4.4,4.4,4.9,0.004205,0.82655,0,3,-238.805677,0.668065,0,61.910478,0,0.260341,0,0,29,0.5,-1,0,0,4.4,0,2,0.5,0.666667,0.775675,0.526674,0,0.044,4.4,1,0.631288,0,0,2.241379,0,0.966667,0,0.956,20,0,5,0,0.5,0.5,0.09313,0.5,3,4.4,4.4,0,0.03,0.5,0.739458,0,0,0,0.956,4.4,0,30,moa.LeveragingBag_HoeffdingTree(1)
163,68.8,44,9.7,0.197359,0.991474,0.087365,0,-6.06692,0.782941,0,16.789839,0,3.313618,0,0,64,0.818093,-1,0,0.381996,42.7,0,10,0.821678,0,0.67469,0.61823,0.2349,0.083,43.8,1,0.736985,0,0.513047,2.9375,0.510692,0.984615,0.100783,0.118,0,0,3,0,0.817184,0.812638,0.892087,0.69886,3,55.6,80.9,0,0.065,0.77793,0.350736,3,0,0,0.118,80.4,0.52502,65,moa.LeveragingBag_HoeffdingTree(1)
200,20.1,16.5,12.5,-1,0.867249,0.329905,0,-1,0.821938,0.75,-1,0,0.933172,0,0,0,0.792165,-1,-1.212516,0.560756,16.5,3,2,0.812889,0,0.695831,0.695831,0.555589,0.349,16.5,-1,0.820362,5.059851,0.62671,-1,0.62671,0,0,0.651,0,0,-1,0,0.812889,0.812889,0.713287,0.4989,0,19.8,33.1,2.906369,0.004,0.792594,-1,0,-0.043108,0,0.651,34.9,0.62671,4,moa.LeveragingBag_HoeffdingTree(1)
180,56.6,50.2,49.5,0.115944,0.776584,0.175632,0,9.244821,0.728323,0,17.237055,0,1.998537,0,0,18,0.747063,1.187828,0,0.285341,46.3,0,4,0.752957,0,0.628707,0.659298,0.243173,0.235,48.1,3,0.71554,0,0.357888,3,0.331819,0.947368,0.186266,0.264,0,0,3,0,0.760078,0.756988,0.341861,0.648901,0,53.4,61.9,0,0.019,0.705017,0,0,0,0,0.264,60.7,0.380334,19,moa.LeveragingBag_HoeffdingTree(1)
2163,22.6,20.3,13.8,-1,0.931603,0.531314,0,-1,0.858567,0.928571,-1,0,0.989588,0,0,0,0.820735,-1,-0.310027,0.540984,19.9,13,2,0.832808,0,0.772427,0.75276,0.538021,0.44,19.9,-1,0.827496,46.013232,0.59589,-1,0.587163,0,0.538021,0.56,0,0,-1,0,0.825193,0.825193,0.719695,0.772248,0,22.4,22.9,8.468375,0.014,0.772248,-1,0,0.397005,0,0.56,22.6,0.59589,14,moa.LeveragingBag_HoeffdingTree(1)
188,37.2,30.4,32.1,0.004609,0.787092,0.126619,5,-217.961016,0.601703,0.30137,-216.961016,1,-1,3,0,50,0.730001,-1,0.047635,0.295152,25.3,22,10,0.757146,0.60274,0.617494,0.59319,0.168009,0,25.3,2,0.611057,2.411408,0.546475,2.3,0.41876,0.684932,0.126619,0.586,44,12,7,0,0.820546,0.820546,0.446592,0.597183,1,36.2,41,0.063489,0.073,0.629557,0.909137,1,0.102937,0,0.586,41,0.546475,73,moa.OzaBoost_HoeffdingTree(1)
176,26.4,24.1,14.9,0.088617,0.931114,0.486735,0,11.43666,0.833827,0,11.843343,0,1.049519,0,0,13,0.806887,1.102097,0,0.558393,22,0,5,0.75001,0.214286,0.73964,0.752637,0.460546,0.001,24.1,2,0.827091,0,0.517521,2.846154,0.517521,0.928571,0.486735,0.543,3,0,4,0,0.828754,0.75001,0.703346,0.741286,0,21.9,25.6,0,0.014,0.770222,0.5547,0,0,0,0.543,25.6,0.561501,14,moa.LeveragingBag_HoeffdingTree(1)
167,56.1,28.3,20.7,0.4194,0.962252,0.116122,0,2.249175,0.879566,0,7.908467,0,3.316814,0,0,16,0.905591,1.362705,0,0.618684,25.2,0,10,0.912575,0,0.686976,0.719055,0.378334,0.089,26.6,3,0.820245,0,0.704396,3,0.685584,0.941176,0.16436,0.113,0,0,3,0,0.911189,0.912296,0.770002,0.730515,1,34.3,78.4,0,0.017,0.856948,0,1,0,0,0.113,74.4,0.719887,17,moa.LeveragingBag_HoeffdingTree(1)
2162,24.3,23.9,12.7,0.113218,0.946087,0.51482,0,9.073529,0.875264,0.428571,9.048054,0,1.024401,0,0,7,0.854151,1.140503,0.224102,0.637532,23.9,6,5,0.799961,0.214286,0.751875,0.765331,0.506092,0.001,23.9,2,0.845278,97.238463,0.515559,2.714286,0.515559,0.5,0.403475,0.547,3,0,4,0,0.799961,0.799961,0.744735,0.724214,0,17.9,24.2,16.976328,0.014,0.788264,0.755929,0,0.522176,0,0.547,29.8,0.515559,14,moa.LeveragingBag_HoeffdingTree(1)
2131,57.6,53.7,46,0.142725,0.807158,0.20844,0,10.43092,0.652985,0.576923,16.103187,0,2.298324,0,0,10,0.648548,1.631476,1.19052,0.231197,51.5,15,7,0.705569,0.153846,0.667761,0.659051,0.216113,0.002,53.7,2,0.66296,1420.887816,0.258529,6,0.258529,0.384615,0.196657,0.323,4,0,22,0,0.703407,0.705569,0.406648,0.633381,0,56.9,56,588.681461,0.026,0.643706,6.110101,0,0.802711,0,0.323,58.4,0.291325,26,moa.OzaBag_HoeffdingTree(1)
192,65.2,29.8,26.8,0.126693,0.952242,0.10035,0,6.613167,0.84684,0,26.160823,0,3.314389,0,0,24,0.878186,0.964534,0,0.50343,29.9,0,10,0.899114,0.96,0.72993,0.706897,0.269959,0.08,29.8,2,0.749473,0,0.668554,2,0.668554,0.96,0.10035,0.119,24,0,2,0,0.89483,0.899114,0.701839,0.72993,1,44.6,79.7,0,0.025,0.832696,0,1,0,0,0.119,79.7,0.66745,25,moa.LeveragingBag_HoeffdingTree(1)
196,63.7,32.5,48.3,-1,0.756137,0.128602,2,-1,0.713392,0.909091,-1,0,2.230068,0,0,0,0.658561,-1,-0.006655,0.173364,31.9,10,5,0.822739,0,0.582174,0.59219,0.117907,0.107,32.4,-1,0.663206,0.503891,0.581659,-1,0.580237,0,0.080923,0.31,0,2,-1,0,0.831605,0.824711,0.367462,0.586043,0,61.6,63,0.330898,0.011,0.62236,-1,0,-0.039838,0,0.31,66.2,0.588066,11,moa.LeveragingBag_kNN(1)
2269,0.5,0.5,0.5,0.000937,0.5,0.5,0,-1068.472195,0.5,0.000998,100.105311,5,0.093778,8,0,1000,0.5,-1,0,0.5,0.5,1,2,0.5,0.998004,0.5,0.5,0.5,0.012,0.5,2,0.5,0,0.5,2,0.5,0.998004,0.5,0.988,1000,5,2,0,0.5,0.5,0.5,0.5,9,0.5,0.5,0,1.002,0.5,0,0,0,0,0.988,0.5,0.5,1002,moa.LeveragingBag_HoeffdingTree(1)
195,61,34.5,47.1,-1,0.766189,0.14068,2,-1,0.711892,0.909091,-1,0,2.230068,0,0,0,0.725604,-1,-0.000006,0.285786,33.5,10,5,0.81374,0,0.585556,0.574109,0.168289,0.107,33.8,-1,0.64756,0.514972,0.56096,-1,0.553647,0,0.102324,0.31,0,2,-1,0,0.811709,0.815723,0.383136,0.59223,0,54.1,62.3,0.331103,0.011,0.660219,-1,0,-0.068397,0,0.31,64.4,0.565627,11,moa.LeveragingBag_kNN(1)
2160,29.2,26.2,23.8,-1,0.841838,0.432259,0,-1,0.704019,0.983607,-1,0,0.988517,0,0,0,0.747044,-1,0.711597,0.373529,26,60,2,0.725358,0,0.701954,0.675348,0.397319,0.437,26.6,-1,0.689608,0.278159,0.448401,-1,0.4612,0,0.389066,0.563,0,0,-1,0,0.713441,0.716107,0.520739,0.69197,0,30.4,27.5,0.140171,0.061,0.694522,-1,0,0.813856,0,0.563,29.8,0.45943,61,moa.LeveragingBag_HoeffdingTree(1)
172,32.5,29.8,21.2,0.023249,0.875641,0.294514,0,49.509771,0.682452,0,42.922154,0,0.997896,0,0,60,0.724924,1.1743,0,0.379531,29.8,0,2,0.714229,0,0.656099,0.554383,0.35196,0.473,29.8,3,0.659311,0,0.400308,3,0.400308,0.983607,0.294514,0.527,0,0,3,0,0.711437,0.714229,0.57522,0.658727,0,31,35.4,0,0.061,0.699343,0,0,0,0,0.527,35.4,0.400308,61,moa.OzaBoost_HoeffdingTree(1)
125,55.4,52.3,35.3,0.116496,0.889987,0.190544,0,11.430892,0.707419,0,19.759698,0,2.301918,0,0,25,0.708819,1.448144,0,0.287538,52.2,0,7,0.71723,0.153846,0.680772,0.672932,0.265055,0.003,52.3,2,0.708187,0,0.279294,4.2,0.279294,0.961538,0.225525,0.314,4,0,22,0,0.733711,0.71723,0.544134,0.673094,0,54,57.1,0,0.026,0.70066,4.031129,1,0,0,0.314,57.8,0.284464,26,moa.OzaBoost_HoeffdingTree(1)
2126,38.9,36.9,40.1,0.016473,0.773835,0.141943,5,-61.704689,0.624227,0.254545,117.98744,0,1.94363,0,0,40,0.749473,-1,2.300694,0.368186,37,14,7,0.734321,0.727273,0.630421,0.587607,0.368186,0.012,36.8,2,0.607024,587.863143,0.41085,2,0.410672,0.727273,0.058259,0.456,40,5,2,0,0.733844,0.734505,0.394671,0.570578,0,38.9,52.2,261.239023,0.055,0.749473,0,0,0.796197,0,0.456,54,0.408788,55,moa.LeveragingBag_HoeffdingTree(1)
189,37.3,31.2,36.5,0.00521,0.762678,0.222777,6,-192.955725,0.655754,0.181818,-191.955725,2,-1,2,0,44,0.642391,-1,0.703333,0.222151,26.3,10,7,0.747744,0.8,0.629772,0.562941,0.144146,0,31.2,2,0.606396,0.471399,0.35399,2,0.35399,0.8,0.132621,0.585,44,10,2,0,0.816029,0.747609,0.387089,0.598477,1,37,39.9,0.139758,0.055,0.632826,0,1,0.225916,0,0.585,40.2,0.504759,55,moa.LeveragingBag_kNN(1)
2130,89.4,67.9,62.3,-1,0.836388,0.039721,0,-1,0.708977,0.941176,-1,0,4.681743,0,0,0,0.720772,-1,0.119322,0.099807,67,16,26,0.729378,0,0.628733,0.629914,0.065034,0.029,67.3,-1,0.671922,5.928305,0.298605,-1,0.292194,0,0.030454,0.056,0,0,-1,0,0.704368,0.716605,0.351152,0.632761,1,86.1,91.2,2.256079,0.017,0.695846,-1,1,0.271149,0,0.056,91.8,0.30208,17,moa.OzaBag_HoeffdingTree(1)
159,56.1,58.3,48.1,0.032072,0.678085,0.132869,4,36.864963,0.61551,0,48.003893,0,1.539589,0,0,9,0.621449,1.214411,0,0.096464,58.3,0,3,0.499249,0.3,0.582978,0.564931,0.101963,0.223,58.3,2,0.597453,0,0,3.111111,0,0.9,0.048458,0.417,3,3,4,0,0.499249,0.499249,0.26453,0.579756,0,56.2,54.6,0,0.01,0.612794,0.927961,0,0,0,0.417,56.5,0,10,moa.LeveragingBag_HoeffdingTree(1)
158,60.8,49.8,30.1,0.233954,0.953723,0.090813,0,3.833107,0.792807,0,14.183488,0,3.318281,0,0,47,0.843862,1.130724,0,0.426626,48.4,0,10,0.823183,0,0.671823,0.703409,0.323422,0.092,49.4,3,0.774262,0,0.450113,3,0.445647,0.979167,0.128391,0.118,0,0,3,0,0.82897,0.825802,0.665478,0.721839,3,51.6,81.2,0,0.048,0.81204,0,3,0,0,0.118,77.8,0.461604,48,moa.OzaBoost_HoeffdingTree(1)
2244,19.1,23.2,17.8,0.071427,0.882835,0,0,-15.000224,0.781784,0.133333,10.940916,0,0.781481,0,142,12,0.752399,-1,3.264873,0.381125,22.4,2,2,0.5,0.066667,0.749753,0.737765,0.383314,0.232,22.4,2,0.79532,95957.531,0.085206,9.916667,0,0.8,0,0.768,1,1,41,0.009467,0.544501,0.544501,0.523432,0.5,0,19.4,23.2,54064.046515,0.015,0.779897,10.578351,0,0.555156,78,0.768,23.2,0.085206,15,moa.OzaBag_HoeffdingTree(1)
170,35,20.8,22.2,0.418411,0.959346,0.150226,0,1.080677,0.878221,0,6.70377,0,2.804931,0,0,19,0.921056,0.870578,0,0.676289,20.5,0,7,0.939759,0,0.698762,0.749483,0.589832,0.132,20.5,1,0.855873,0,0.760693,2.894737,0.757172,0.95,0.288124,0.157,0,0,3,0,0.940503,0.940503,0.740857,0.752765,0,27.7,72,0,0.02,0.882039,0.458831,0,0,0,0.157,60.7,0.760693,20,moa.LeveragingBag_HoeffdingTree(1)
